"audio","length","trial_start","trial_end","understand","angry","intend","hostile","blame","subID"
"audio/12.wav",39,875.752455209,914.760688167,9,9,7.2,5.4,9,"08"
"audio/13.wav",40,946.609636584,986.617658459,9,8.1,5.4,4.5,7.2,"08"
"audio/14.wav",43,1021.528530709,1064.536751834,9,9,8.1,7.2,8.1,"08"
"audio/15.wav",19,1099.753845542,1118.762050834,9,8.1,7.2,6.3,8.1,"08"
"audio/16.wav",42,1150.994604625,1193.002871875,9,9,7.2,6.3,9,"08"
"audio/17.wav",38,1227.14450725,1265.152383584,7,7.2,8.1,7.2,8.1,"08"
"audio/18.wav",39,1311.889838584,1350.897648209,9,8.1,6.3,5.4,6.3,"08"
"audio/19.wav",44,1385.970480209,1429.979479959,9,9,7.2,4.5,7.2,"08"
"audio/20.wav",46,1466.32150275,1512.333677042,9,7.2,3.6,1.8,5.4,"08"
"audio/21.wav",42,1552.56981,1594.578163292,9,8.1,4.5,3.6,7.2,"08"
"audio/1.wav",42,25.6820414169997,67.7391003749981,9,7.2,6.3,5.4,6.3,"10"
"audio/2.wav",38,130.345258583999,168.357831999998,9,7.2,6.3,7.2,6.3,"10"
"audio/3.wav",40,222.865602667,262.876143375001,9,5.4,4.5,4.5,4.5,"10"
"audio/4.wav",33,310.752684333998,343.760005125001,9,6.3,7.2,7.2,7.2,"10"
"audio/5.wav",43,384.993592999999,428.004303166999,9,6.3,5.4,5.4,6.3,"10"
"audio/6.wav",34,472.681759874998,506.689149083999,9,7.2,7.2,7.2,7.2,"10"
"audio/7.wav",45,552.986772875,597.999439250001,9,5.4,4.5,4.5,5.4,"10"
"audio/8.wav",40,636.680874166999,676.688878749999,9,6.3,5.4,5.4,6.3,"10"
"audio/9.wav",38,716.034480334001,754.043500084001,9,4.5,4.5,3.6,3.6,"10"
"audio/10.wav",38,798.713346500001,836.721194541999,9,6.3,5.4,5.4,5.4,"10"
"audio/11.wav",27,877.594106708999,904.601207333999,9,4.5,4.5,4.5,3.6,"10"
"audio/12.wav",39,949.378975167001,988.388508417,9,3.6,3.6,2.7,5.4,"10"
"audio/13.wav",40,1028.850121792,1068.858428167,9,4.5,5.4,4.5,5.4,"10"
"audio/14.wav",43,1104.906512542,1147.914956292,9,5.4,5.4,4.5,5.4,"10"
"audio/15.wav",19,1187.369597959,1206.377987792,9,4.5,2.7,3.6,4.5,"10"
"audio/16.wav",42,1246.146089334,1288.154389375,9,7.2,7.2,5.4,7.2,"10"
"audio/17.wav",38,1325.883262792,1363.890872917,9,5.4,4.5,4.5,5.4,"10"
"audio/18.wav",39,1397.2096375,1436.217991292,9,7.2,7.2,6.3,7.2,"10"
"audio/19.wav",44,1477.378748042,1521.387316792,9,4.5,3.6,2.7,2.7,"10"
"audio/20.wav",46,1555.86611525,1601.878480542,9,3.6,1.8,1.8,1.8,"10"
"audio/21.wav",42,1637.594735167,1679.60288325,9,5.4,4.5,3.6,5.4,"10"
"audio/1.wav",42,29.71994825,71.8022905000034,9,6.3,3.6,3.6,5.4,"11"
"audio/2.wav",38,118.951018250002,156.965540708006,9,7.2,5.4,4.5,7.2,"11"
"audio/3.wav",40,209.687556625002,249.699326166003,9,8.1,3.6,2.7,5.4,"11"
"audio/4.wav",33,294.999579125004,328.006997208002,9,9,9,7.2,9,"11"
"audio/5.wav",43,361.710669416003,404.721742000002,9,6.3,5.4,5.4,6.3,"11"
"audio/6.wav",34,446.735854958002,480.743587416,9,9,8.1,8.1,9,"11"
"audio/7.wav",45,512.455363166002,557.468768291001,9,4.5,3.6,2.7,6.3,"11"
"audio/8.wav",40,597.575623041004,637.583651041001,9,3.6,6.3,4.5,4.5,"11"
"audio/9.wav",38,683.487679875005,721.495787666005,9,4.5,3.6,3.6,7.2,"11"
"audio/10.wav",38,760.224612208003,798.233038875005,9,8.1,4.5,4.5,7.2,"11"
"audio/11.wav",27,834.983060916005,861.989948125003,9,5.4,2.7,3.6,5.4,"11"
"audio/12.wav",39,900.152022333001,939.160021666001,9,6.3,6.3,5.4,8.1,"11"
"audio/13.wav",40,977.584305541,1017.593223208,9,6.3,4.5,3.6,6.3,"11"
"audio/14.wav",43,1054.25551141601,1097.265451583,9,7.2,6.3,6.3,7.2,"11"
"audio/15.wav",19,1138.918449833,1157.92728312501,9,4.5,2.7,1.8,5.4,"11"
"audio/16.wav",42,1197.368149333,1239.376949333,9,9,5.4,4.5,9,"11"
"audio/17.wav",38,1276.02370875001,1314.031946875,9,8.1,7.2,6.3,8.1,"11"
"audio/18.wav",39,1346.846271125,1385.85410116601,9,9,7.2,7.2,8.1,"11"
"audio/19.wav",44,1417.814928,1461.824082708,7,7.2,2.7,1.8,2.7,"11"
"audio/20.wav",46,1497.680493833,1543.693660041,9,7.2,2.7,2.7,8.1,"11"
"audio/21.wav",42,1578.75175370801,1620.759951375,9,9,6.3,6.3,8.1,"11"
"audio/1.wav",42,22.8075479169929,64.8677471669944,7,9,4.5,7.2,9,"12"
"audio/2.wav",38,140.469206042006,178.482402167007,9,7.2,8.1,8.1,9,"12"
"audio/3.wav",40,229.390160750001,269.401754082995,8,7.2,1.8,1.8,7.2,"12"
"audio/4.wav",33,313.165681416998,346.173759875004,9,8.1,8.1,9,8.1,"12"
"audio/5.wav",43,386.614343167006,429.625994167,9,6.3,0.9,0.9,0.9,"12"
"audio/6.wav",34,468.879253332998,502.886580999999,9,2.7,6.3,7.2,5.4,"12"
"audio/7.wav",45,558.911113374998,603.924333250005,9,6.3,0.9,0.9,9,"12"
"audio/8.wav",40,652.623625875,692.632373707995,9,2.7,5.4,9,9,"12"
"audio/9.wav",38,736.174875792,774.184105749999,9,3.6,7.2,7.2,2.7,"12"
"audio/10.wav",38,812.15917775,850.166715041996,9,7.2,3.6,2.7,9,"12"
"audio/11.wav",27,893.454637707997,920.461620125003,8,8.1,8.1,8.1,8.1,"12"
"audio/12.wav",39,958.030814541999,997.038854875005,9,3.6,0.9,3.6,9,"12"
"audio/13.wav",40,1031.399426583,1071.406993583,9,4.5,0.9,0.9,7.2,"12"
"audio/14.wav",43,1109.942854375,1152.95247304199,9,8.1,6.3,7.2,7.2,"12"
"audio/15.wav",19,1190.06401783301,1209.072067292,9,5.4,0.9,0.9,7.2,"12"
"audio/16.wav",42,1248.216435667,1290.22539075,9,9,7.2,7.2,5.4,"12"
"audio/17.wav",38,1334.303622042,1372.311607333,9,7.2,7.2,8.1,8.1,"12"
"audio/18.wav",39,1407.471600417,1446.48000554201,9,9,5.4,5.4,5.4,"12"
"audio/19.wav",44,1485.95976625,1529.967578333,9,8.1,7.2,7.2,7.2,"12"
"audio/20.wav",46,1561.207782667,1607.2211105,9,8.1,7.2,8.1,9,"12"
"audio/21.wav",42,1640.02435675,1682.031978083,9,7.2,0.9,0.9,0.9,"12"
"audio/1.wav",42,15.7927781250037,57.8662164580019,9,6.3,0.9,1.8,2.7,"14"
"audio/2.wav",38,107.288666374996,145.303135583003,9,8.1,4.5,3.6,7.2,"14"
"audio/3.wav",40,181.967943833006,221.979562374996,9,5.4,0.9,0.9,5.4,"14"
"audio/4.wav",33,260.600837125006,293.608794957996,9,9,9,7.2,9,"14"
"audio/5.wav",43,323.385619207998,366.398068708004,9,4.5,5.4,5.4,4.5,"14"
"audio/6.wav",34,399.384108500002,433.391463874999,9,7.2,8.1,8.1,9,"14"
"audio/7.wav",45,463.585055375006,508.599580541995,9,4.5,1.8,2.7,2.7,"14"
"audio/8.wav",40,547.816365457998,587.824691292,9,3.6,3.6,4.5,3.6,"14"
"audio/9.wav",38,624.369348082997,662.379140749996,9,2.7,0.9,3.6,2.7,"14"
"audio/10.wav",38,698.025983375002,736.033996583006,9,3.6,1.8,1.8,2.7,"14"
"audio/11.wav",27,771.066143874996,798.072207167002,9,4.5,2.7,4.5,2.7,"14"
"audio/12.wav",39,833.256341917004,872.264310083003,9,2.7,1.8,2.7,1.8,"14"
"audio/13.wav",40,902.561788583,942.570506999997,9,0.9,0.9,0.9,0.9,"14"
"audio/14.wav",43,968.256913375008,1011.266188625,9,4.5,4.5,3.6,4.5,"14"
"audio/15.wav",19,1043.290816625,1062.298245375,9,5.4,2.7,1.8,5.4,"14"
"audio/16.wav",42,1090.761441917,1132.771740625,9,8.1,2.7,2.7,8.1,"14"
"audio/17.wav",38,1165.24928975001,1203.257620958,9,1.8,4.5,1.8,2.7,"14"
"audio/18.wav",39,1236.345683208,1275.369478708,9,4.5,3.6,4.5,3.6,"14"
"audio/19.wav",44,1304.53782391701,1348.54663500001,9,1.8,0.9,0.9,0.9,"14"
"audio/20.wav",46,1379.106054583,1425.125682458,9,5.4,4.5,3.6,4.5,"14"
"audio/21.wav",42,1458.273883708,1500.28298758301,9,2.7,2.7,2.7,3.6,"14"
"audio/1.wav",42,25.9089682500053,68.0008983750013,6,4.5,5.4,5.4,4.5,"16"
"audio/2.wav",38,140.406377167004,178.419110333984,7,6.3,6.3,6.3,6.3,"16"
"audio/3.wav",40,220.363621666998,260.37812524999,8,4.5,3.6,3.6,5.4,"16"
"audio/4.wav",33,296.820760916977,329.829973083979,8,5.4,8.1,8.1,8.1,"16"
"audio/5.wav",43,367.22977424998,410.241042791982,9,6.3,6.3,6.3,6.3,"16"
"audio/6.wav",34,448.036965459003,482.043901500001,8,6.3,7.2,6.3,6.3,"16"
"audio/7.wav",45,511.644563041977,556.664201167005,8,6.3,6.3,5.4,6.3,"16"
"audio/8.wav",40,591.302308416984,631.311903583992,8,6.3,6.3,6.3,6.3,"16"
"audio/9.wav",38,669.294034041988,707.301593291981,8,5.4,5.4,5.4,5.4,"16"
"audio/10.wav",38,739.086622292001,777.094292416994,8,6.3,5.4,5.4,7.2,"16"
"audio/11.wav",27,808.686751333997,835.694478624995,8,6.3,5.4,5.4,5.4,"16"
"audio/12.wav",39,871.903632667003,910.911966791988,8,7.2,6.3,5.4,6.3,"16"
"audio/13.wav",40,951.935444667004,991.943258791987,7,5.4,4.5,4.5,3.6,"16"
"audio/14.wav",43,1023.19204691699,1066.201539667,9,7.2,7.2,7.2,7.2,"16"
"audio/15.wav",19,1097.75118420899,1116.75948937499,8,5.4,5.4,4.5,4.5,"16"
"audio/16.wav",42,1148.35878012498,1190.36791929198,8,8.1,4.5,4.5,5.4,"16"
"audio/17.wav",38,1222.261726667,1260.269501959,8,7.2,5.4,5.4,6.3,"16"
"audio/18.wav",39,1296.24703850001,1335.25553754199,8,7.2,7.2,5.4,9,"16"
"audio/19.wav",44,1365.151854417,1409.159957875,8,6.3,3.6,3.6,3.6,"16"
"audio/20.wav",46,1445.13572587498,1491.149855917,8,6.3,5.4,4.5,5.4,"16"
"audio/21.wav",42,1532.10384995898,1574.11253758398,8,7.2,5.4,2.7,8.1,"16"
"audio/1.wav",42,22.7353758340178,64.8326555420063,8,5.4,1.8,1.8,2.7,"17"
"audio/2.wav",38,117.119179959001,155.134890167014,9,1.8,2.7,2.7,2.7,"17"
"audio/3.wav",40,193.871738334012,233.883991209004,9,1.8,1.8,1.8,2.7,"17"
"audio/4.wav",33,269.504372875002,302.512946500006,9,2.7,3.6,3.6,3.6,"17"
"audio/5.wav",43,344.536333042022,387.548877709021,9,3.6,2.7,2.7,3.6,"17"
"audio/6.wav",34,432.231873625016,466.239917708997,9,2.7,5.4,3.6,3.6,"17"
"audio/7.wav",45,518.344707792014,563.35698154202,9,2.7,1.8,1.8,2.7,"17"
"audio/8.wav",40,603.176521250018,643.185362084012,8,1.8,1.8,1.8,1.8,"17"
"audio/9.wav",38,690.160005000012,728.168436750013,9,2.7,3.6,3.6,2.7,"17"
"audio/10.wav",38,770.937829375005,808.945812834019,9,4.5,2.7,2.7,2.7,"17"
"audio/11.wav",27,853.528643875004,880.535520459001,9,3.6,2.7,2.7,2.7,"17"
"audio/12.wav",39,917.729183500022,956.736742042005,9,3.6,1.8,1.8,1.8,"17"
"audio/13.wav",40,993.272704042,1033.28043100002,9,3.6,1.8,1.8,1.8,"17"
"audio/14.wav",43,1069.86592766701,1112.87539595901,9,3.6,2.7,2.7,1.8,"17"
"audio/15.wav",19,1151.62558366702,1170.634678417,5,5.4,5.4,1.8,4.5,"17"
"audio/16.wav",42,1207.498345042,1249.50691266701,9,5.4,1.8,1.8,1.8,"17"
"audio/17.wav",38,1282.81782500001,1320.82940175,9,4.5,1.8,2.7,2.7,"17"
"audio/18.wav",39,1359.49750912501,1398.50578600002,9,5.4,1.8,2.7,3.6,"17"
"audio/19.wav",44,1437.72988904201,1481.73882637502,4,1.8,1.8,1.8,1.8,"17"
"audio/20.wav",46,1516.23374408402,1562.24699558402,9,4.5,1.8,2.7,3.6,"17"
"audio/21.wav",42,1592.634537417,1634.642429125,9,4.5,1.8,3.6,4.5,"17"
"audio/1.wav",42,11.9298199579935,54.021964582993,9,6.3,4.5,3.6,5.4,"18"
"audio/2.wav",38,99.5916492909892,137.606324583001,9,7.2,6.3,5.4,6.3,"18"
"audio/3.wav",40,175.481711874978,215.49343420798,9,7.2,2.7,1.8,2.7,"18"
"audio/4.wav",33,259.473351790977,292.481443707977,9,7.2,9,7.2,8.1,"18"
"audio/5.wav",43,329.688725957996,372.699642166001,9,8.1,7.2,7.2,7.2,"18"
"audio/6.wav",34,403.146015249979,437.153663207981,9,8.1,8.1,8.1,8.1,"18"
"audio/7.wav",45,469.225060957979,514.237237207999,9,7.2,5.4,3.6,6.3,"18"
"audio/8.wav",40,548.106505999982,588.115564415988,8,7.2,6.3,5.4,5.4,"18"
"audio/9.wav",38,621.841953458003,659.85154920799,9,5.4,3.6,2.7,3.6,"18"
"audio/10.wav",38,695.585631041002,733.595064832974,9,5.4,2.7,2.7,4.5,"18"
"audio/11.wav",27,765.202832124982,792.209679082996,9,5.4,4.5,4.5,4.5,"18"
"audio/12.wav",39,824.226683165994,863.234113165992,9,5.4,4.5,4.5,6.3,"18"
"audio/13.wav",40,897.393945624994,937.402277207992,9,4.5,2.7,2.7,3.6,"18"
"audio/14.wav",43,965.250388374989,1008.25844029099,9,6.3,5.4,5.4,5.4,"18"
"audio/15.wav",19,1040.25897529098,1059.267842125,9,4.5,3.6,2.7,4.5,"18"
"audio/16.wav",42,1089.01952358297,1131.02858279098,9,7.2,4.5,3.6,3.6,"18"
"audio/17.wav",38,1164.96373695799,1202.97160237498,9,6.3,6.3,6.3,6.3,"18"
"audio/18.wav",39,1233.803959791,1272.81224366598,8,8.1,7.2,7.2,7.2,"18"
"audio/19.wav",44,1304.04311054098,1348.05196783299,9,6.3,4.5,3.6,4.5,"18"
"audio/20.wav",46,1379.40343279098,1425.41706808298,9,5.4,3.6,3.6,5.4,"18"
"audio/21.wav",42,1453.363528583,1495.37272416599,9,6.3,3.6,2.7,2.7,"18"
"audio/1.wav",42,15.9617725830176,58.0278317079938,9,9,3.6,0.9,9,"19"
